title,overview,popularity,vote_count,original_language,vote_average,release_date
The Harder They Fall,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.",2.3795,1079,en,6.6,2021-10-22
Barbie in 'A Christmas Carol',"On Christmas Eve, Kelly is reluctant to go to a Christmas Eve ball, so Barbie tells her the story of Eden Starling, a glamorous singing diva in the Victorian England and the owner of a theatre house. However, Eden is self-centered and loves only herself. She is frequently accompanied by her snooty cat, Chuzzlewit. She does not believe in Christmas and orders all her employees to work on Christmas.",2.3228,558,en,7.1,2008-11-03
Hell House LLC II: The Abaddon Hotel,"Eight years after the opening night tragedy of HELL HOUSE LLC, many unanswered questions remain. Thanks to an anonymous tip, an investigative journalist is convinced that key evidence is hidden inside the abandoned Abaddon Hotel. She assembles a team to break into the hotel in hopes of discovering the truth. But the source of the tip and the secrets of the Abaddon Hotel are more horrifying than any of them could have imagined.",2.2882,167,en,5.6,2018-09-14
The Blob,"In Arborville, California, three high school students try to protect their hometown from a gelatinous alien life form that engulfs everything it touches.",2.2457,933,en,6.8,1988-08-05
Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",2.582,4108,en,6.5,2016-07-28
Run Rabbit Run,"Sarah is a fertility doctor with a firm understanding of the cycle of life. When she is forced to make sense of the increasingly strange behavior of her young daughter Mia, she must challenge her own beliefs and confront a ghost from her past.",2.2228,29,en,5.6,2024-07-18
Leo and the Shark,"An ambitious young man’s aimless ways cause a huge blowout with his manager, leading to a bigger fight to survive the lethal aim of a deadly stalker.",1.2083,1,en,2.0,2019-10-11
Sharks: Monster of the Media,"Feared as killers, sharks are the ocean's most misunderstood creatures. This documentary tells their true story — and examines the dangers they face.",1.1972,2,de,5.0,2019-01-25
Detective Conan: Jolly Roger in the Deep Azure,"The Isle of Koumi, a beautiful island in the Pacific Ocean. On the island, people pass an old legend down from generation to generation that there was the Seabed Palace, an ancient ruin at the bottom of the sea, where the treasure of female pirates Anne Bonny and Mary Reed was left. When Conan and his friends visit Koumi while on vacation, they meet some suspicious treasure hunters.",1.8297,129,ja,6.6,2007-04-21
The End of All Things,"Three survivors work together to stay alive in a post-apocalyptic world, until one discovers a mysterious relic that will change their lives forever.",1.3335,2,en,4.5,2019-11-08
The Gold Rush,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,2.1182,1638,en,8.0,1925-07-13
Sisid Marino,"A married couple falls into depression after the death of their child. They turn to sex as a coping mechanism, but poverty takes its toll on them.",2.7806,5,tl,6.0,2024-06-14
A Child of the King,An American doctor establishes an orphanage in Ecuador to help the starving and homeless children of the Amazon rain-forest.,1.3272,1,en,9.0,2019-12-25
Driven,FBI informant Jim Hoffman lures troubled automobile magnate John DeLorean to an undercover sting for cocaine trafficking.,2.0936,224,en,6.2,2019-08-15
Save Rosemary: The Trinity,The third film of an original series follows the path of a woman trying to make sense of her life while asleep in a COVID-19 coma. Not sure if she is awake or still dreaming her entire life is played before her sleeping eyes. Her choices in life must now be judged by her sub-conscious. What happens when she finally wakes up?,2.1235,0,en,0.0,2021-01-01
The French Teacher,"A French teacher has her personal life transformed after she begins an affair with a student half her age. The present collides with the past, as long-buried family issues are unearthed in this complex, intergenerational drama.",0.9871,4,en,4.0,2019-08-01
Interstellar: Nolan's Odyssey,A look behind the lens of Christopher Nolan's space epic.,2.3631,182,en,7.7,2014-11-05
Locas y atrapadas,Five women trapped in an elevator confess their bitter life experiences caused by evil men and society.,0.9122,8,es,5.8,2014-02-13
The Age of Innocence,"In 19th century New York high society, a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",2.0516,1125,en,6.985,1993-09-10
Popeye,"Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto.",2.5,637,en,5.5,1980-12-12
A Magnificent Haunting,An aspiring actor discovers that his spacious new apartment comes complete with eight friendly ghosts.,2.1418,249,it,6.5,2012-03-16
Still Life in Lodz,"A large still-life painting hung on the wall above Lilka Elbaum's childhood bed in Lodz, Poland. It was the first thing she saw when she woke up, and the last thing she saw before she fell asleep.",0.8653,0,en,0.0,2021-03-12
Mo'nique: I Coulda Been Your Cellmate,Mo'nique visited a women's prison and performed her stand-up comedy for the inmates. I Coulda Been Your Cellmate is as much a documentary as it is a performance film.,1.8757,5,en,6.2,2007-04-03
Cyborg,A martial artist hunts a killer in a plague-infested urban dump of the future.,1.9845,741,en,5.7,1989-04-07
An Easter Story,"It’s the day before Easter, but there aren’t enough eggs and there isn’t enough dye. Time is running out for the Easter Bunny! But maybe two young boys have the answer. Could all the children of the world help out by colouring their own eggs? This is AN EASTER STORY kids will think of at every Easter Egg Hunt!",1.2217,0,en,0.0,1983-01-01
The SZN,"While becoming the next upcoming entertainment mogul, Roman Perry learns about his brother's criminal activity, disrupting his career and family matters that unfold unsolicited secrets.",0.8823,0,en,0.0,2023-01-09
Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,2.3964,2317,en,7.868,2016-03-11
The Adventures of Ichabod and Mr. Toad,"The Wind in the Willows: Concise version of Kenneth Grahame's story of the same name. J. Thaddeus Toad, owner of Toad Hall, is prone to fads, such as the newfangled motor car. This desire for the very latest lands him in much trouble with the wrong crowd, and it is up to his friends, Mole, Rat and Badger to save him from himself. - The Legend of Sleepy Hollow: Retelling of Washington Irving's story set in a tiny New England town. Ichabod Crane, the new schoolmaster, falls for the town beauty, Katrina Van Tassel, and the town Bully Brom Bones decides that he is a little too successful and needs ""convincing"" that Katrina is not for him.",2.0615,626,en,6.5,1949-10-05
Miss Sloane,An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.,2.1285,1836,en,7.429,2016-11-25
Mother's Friend,"Hyeri and Ji-yeon are friends in the same neighborhood. They have a son to go to the army after some time. One day, Min-gu, who was playing at Jun-suk's house, sees Jun-suk's mother Hyeri in the shower and gets excited and hits her. Hyeri, who initially resisted, gave up resistance to Mingu's power, and after that day, the two develop into sex every time they have time. After a few days, Ji-yeon, who accidentally witnessed her son Min-gu and Hye-ri having sex, begins to seduce Hye-ri's son Jun-seok.",2.5877,5,ko,5.6,2017-05-01
The American,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.",2.3124,1378,en,6.0,2010-08-31
